epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,457.212,0.93698,0.71809,1.06754,0.90297,0.90978,0.92476,0.71622,0.92457,0.64227,1.03843,0.000848969,0.000848969,0.000848969
43,466.95,0.93716,0.71877,1.0564,0.92003,0.91402,0.92858,0.72396,0.89468,0.61463,1.01617,0.000834822,0.000834822,0.000834822
44,476.879,0.91829,0.71458,1.05869,0.93628,0.87941,0.93232,0.72432,0.91149,0.62837,1.03036,0.000820675,0.000820675,0.000820675
45,486.588,0.90877,0.70238,1.05323,0.92355,0.88447,0.931,0.71552,0.92365,0.63999,1.03694,0.000806528,0.000806528,0.000806528
46,496.16,0.90765,0.70066,1.05197,0.92741,0.89864,0.93817,0.72624,0.92073,0.60021,1.03237,0.00079238,0.00079238,0.00079238
47,505.807,0.91981,0.70095,1.05437,0.92048,0.86898,0.93049,0.71043,0.95216,0.63537,1.04636,0.000778233,0.000778233,0.000778233
48,515.442,0.92567,0.71235,1.06424,0.92823,0.87804,0.93486,0.72083,0.91965,0.62833,1.02407,0.000764086,0.000764086,0.000764086
49,525.109,0.90068,0.69927,1.0492,0.93447,0.89989,0.94548,0.73492,0.90851,0.57526,1.02346,0.000749939,0.000749939,0.000749939
50,535.039,0.90014,0.68548,1.04564,0.91924,0.9108,0.93064,0.72424,0.89964,0.59356,1.01643,0.000735792,0.000735792,0.000735792
51,544.783,0.91291,0.69593,1.05964,0.92736,0.89628,0.93737,0.7207,0.9057,0.58531,1.02788,0.000721645,0.000721645,0.000721645
52,554.837,0.89105,0.66977,1.04271,0.90925,0.91444,0.93654,0.72702,0.91674,0.60412,1.0308,0.000707498,0.000707498,0.000707498
53,564.506,0.8912,0.68469,1.0435,0.93847,0.88315,0.93822,0.74337,0.88075,0.58258,1.01505,0.000693351,0.000693351,0.000693351
54,574.273,0.89511,0.678,1.04983,0.94665,0.88427,0.93842,0.73191,0.89716,0.59213,1.02214,0.000679204,0.000679204,0.000679204
55,583.984,0.89731,0.66763,1.03943,0.92799,0.88809,0.93472,0.73584,0.88387,0.59746,1.01295,0.000665057,0.000665057,0.000665057
56,593.872,0.89006,0.66159,1.0483,0.94763,0.88468,0.93944,0.73937,0.88928,0.58534,1.02075,0.000650909,0.000650909,0.000650909
57,603.68,0.86765,0.65702,1.03664,0.96094,0.89803,0.94503,0.73748,0.89265,0.57527,1.01598,0.000636762,0.000636762,0.000636762
58,613.584,0.86895,0.64491,1.03143,0.92918,0.91855,0.94414,0.73755,0.89219,0.56642,1.01514,0.000622615,0.000622615,0.000622615
59,623.216,0.84853,0.63429,1.02175,0.92473,0.9167,0.94511,0.73827,0.89894,0.57073,1.01625,0.000608468,0.000608468,0.000608468
60,633.029,0.87097,0.62871,1.03905,0.93396,0.88258,0.94232,0.73865,0.89383,0.58676,1.0183,0.000594321,0.000594321,0.000594321
61,642.666,0.85067,0.63437,1.03342,0.94153,0.89848,0.94164,0.74146,0.8751,0.56403,1.01054,0.000580174,0.000580174,0.000580174
62,652.44,0.85147,0.61911,1.03326,0.92239,0.90617,0.93623,0.72435,0.91038,0.58567,1.02774,0.000566027,0.000566027,0.000566027
63,662.893,0.86089,0.62789,1.03344,0.94034,0.91188,0.94628,0.7545,0.87126,0.57458,1.01705,0.00055188,0.00055188,0.00055188
64,673.247,0.85976,0.62472,1.02612,0.95878,0.88758,0.94329,0.73183,0.93075,0.56999,1.04458,0.000537733,0.000537733,0.000537733
65,683.403,0.83958,0.62078,1.02534,0.94775,0.88474,0.94781,0.73414,0.8872,0.55425,1.02662,0.000523586,0.000523586,0.000523586
66,693.365,0.8474,0.61361,1.03163,0.93501,0.89879,0.94493,0.74069,0.90059,0.57157,1.02381,0.000509438,0.000509438,0.000509438
67,703.269,0.83053,0.59606,1.01789,0.93745,0.91405,0.94236,0.7429,0.89501,0.56962,1.02639,0.000495291,0.000495291,0.000495291
68,713.271,0.82988,0.6029,1.02415,0.93702,0.91309,0.94769,0.74884,0.87793,0.54908,1.01586,0.000481144,0.000481144,0.000481144
69,723.183,0.80886,0.58741,0.9999,0.96421,0.88667,0.94403,0.74304,0.8744,0.53142,1.01298,0.000466997,0.000466997,0.000466997
70,732.934,0.81146,0.5807,1.01341,0.94106,0.90738,0.94637,0.74297,0.89212,0.54249,1.01976,0.00045285,0.00045285,0.00045285
71,742.872,0.81228,0.58225,1.01432,0.93534,0.91855,0.94255,0.74586,0.87001,0.5381,1.00827,0.000438703,0.000438703,0.000438703
72,752.624,0.80631,0.58272,1.01114,0.95866,0.90168,0.94817,0.75926,0.86566,0.52776,1.00407,0.000424556,0.000424556,0.000424556
73,762.315,0.81368,0.57398,1.00678,0.94918,0.91893,0.95034,0.75709,0.85904,0.51518,0.99911,0.000410409,0.000410409,0.000410409
74,772.06,0.80802,0.57228,1.0128,0.93844,0.91408,0.94698,0.75085,0.87843,0.52784,1.01507,0.000396262,0.000396262,0.000396262
75,781.776,0.7968,0.56526,1.00477,0.94097,0.92186,0.94679,0.75286,0.88241,0.52877,1.01263,0.000382115,0.000382115,0.000382115
76,791.528,0.80056,0.57101,1.00759,0.95201,0.90535,0.94942,0.75822,0.85835,0.52701,1.00507,0.000367967,0.000367967,0.000367967
77,801.282,0.77923,0.55788,0.99598,0.94586,0.91514,0.94987,0.75939,0.85418,0.5145,1.00667,0.00035382,0.00035382,0.00035382
78,811.086,0.79546,0.54568,1.00486,0.9314,0.92288,0.94953,0.75753,0.86082,0.52546,1.0071,0.000339673,0.000339673,0.000339673
79,820.907,0.78557,0.55587,0.99356,0.94078,0.9112,0.95399,0.76555,0.85694,0.50717,1.01166,0.000325526,0.000325526,0.000325526
80,831.339,0.76074,0.5485,0.98377,0.95333,0.91162,0.94866,0.75204,0.87198,0.51617,1.01428,0.000311379,0.000311379,0.000311379
81,841.512,0.78265,0.54908,0.99465,0.96131,0.89652,0.94625,0.75603,0.85829,0.52208,1.00946,0.000297232,0.000297232,0.000297232
82,851.513,0.76054,0.54216,0.99002,0.95323,0.90953,0.95173,0.76013,0.85148,0.51098,1.00538,0.000283085,0.000283085,0.000283085
83,861.414,0.75278,0.52906,0.99146,0.93927,0.92299,0.9517,0.76328,0.84798,0.5123,1.00374,0.000268938,0.000268938,0.000268938
84,871.202,0.76216,0.5424,0.99048,0.9464,0.91393,0.95168,0.75961,0.85071,0.50376,1.00763,0.000254791,0.000254791,0.000254791
85,880.849,0.76956,0.54482,0.99723,0.95708,0.91644,0.95233,0.76263,0.8526,0.49732,1.00655,0.000240644,0.000240644,0.000240644
86,890.605,0.75198,0.51979,0.98776,0.94976,0.91407,0.95063,0.75547,0.86347,0.51203,1.01321,0.000226497,0.000226497,0.000226497
87,900.425,0.73441,0.51389,0.97804,0.95124,0.90923,0.9503,0.76079,0.85328,0.50462,1.00679,0.000212349,0.000212349,0.000212349
88,910.058,0.74105,0.52718,0.98358,0.93485,0.91855,0.95061,0.76439,0.83957,0.50274,0.99965,0.000198202,0.000198202,0.000198202
89,919.923,0.7256,0.50042,0.97755,0.93966,0.90966,0.9524,0.75866,0.84303,0.50337,1.00523,0.000184055,0.000184055,0.000184055
90,929.686,0.75826,0.51711,0.98647,0.94362,0.91366,0.95086,0.76138,0.84081,0.50306,0.99853,0.000169908,0.000169908,0.000169908
91,952.183,0.6554,0.39065,0.93267,0.95067,0.91101,0.9481,0.75693,0.84542,0.507,1.00568,0.000155761,0.000155761,0.000155761
92,961.939,0.64025,0.36902,0.93189,0.95293,0.9209,0.94966,0.75973,0.84822,0.49605,1.00864,0.000141614,0.000141614,0.000141614
93,971.881,0.64357,0.36483,0.92623,0.95308,0.92462,0.95033,0.75989,0.84553,0.49445,1.00791,0.000127467,0.000127467,0.000127467
94,981.662,0.61048,0.35231,0.9186,0.95352,0.91748,0.95398,0.76809,0.83873,0.49219,1.00726,0.00011332,0.00011332,0.00011332
95,991.344,0.62399,0.35353,0.91438,0.93198,0.93491,0.95159,0.7681,0.82943,0.49398,1.00535,9.91726e-05,9.91726e-05,9.91726e-05
96,1001.09,0.61193,0.34571,0.91915,0.9379,0.93456,0.95092,0.76577,0.82929,0.4843,1.00481,8.50255e-05,8.50255e-05,8.50255e-05
97,1010.79,0.60629,0.34326,0.91066,0.94259,0.93747,0.95216,0.76673,0.83231,0.48296,1.0066,7.08784e-05,7.08784e-05,7.08784e-05
98,1020.64,0.6243,0.347,0.92276,0.95672,0.91829,0.9533,0.77087,0.82656,0.48103,1.00239,5.67313e-05,5.67313e-05,5.67313e-05
99,1030.3,0.60034,0.34533,0.91227,0.94496,0.93063,0.95454,0.77264,0.82688,0.48045,1.00199,4.25842e-05,4.25842e-05,4.25842e-05
100,1039.96,0.60018,0.3327,0.90854,0.94342,0.92992,0.955,0.77238,0.82624,0.47716,1.00204,2.84371e-05,2.84371e-05,2.84371e-05
